Density	Temperature	Pressure	Energy	Entropy	ParticleVelocity	LagWavespeed
+2.740989e+00	+3.168843e+02	+2.987168e+00	+2.046511e-02	-2.788589e-01	+2.061732e-01	+5.770453e+00	
+2.742309e+00	+3.171238e+02	+3.027922e+00	+2.099429e-02	-2.785563e-01	+2.088487e-01	+5.777670e+00	
+2.743630e+00	+3.173632e+02	+3.068739e+00	+2.153014e-02	-2.782470e-01	+2.115251e-01	+5.784893e+00	
+2.744950e+00	+3.176025e+02	+3.109618e+00	+2.207264e-02	-2.779311e-01	+2.142021e-01	+5.792121e+00	
+2.746270e+00	+3.178419e+02	+3.150560e+00	+2.262179e-02	-2.776085e-01	+2.168800e-01	+5.799353e+00	
+2.747591e+00	+3.180812e+02	+3.191565e+00	+2.317758e-02	-2.772792e-01	+2.195586e-01	+5.806590e+00	
+2.748911e+00	+3.183206e+02	+3.232633e+00	+2.374000e-02	-2.769433e-01	+2.222380e-01	+5.813832e+00	
+2.750231e+00	+3.185599e+02	+3.273764e+00	+2.430904e-02	-2.766008e-01	+2.249181e-01	+5.821079e+00	
+2.751552e+00	+3.187991e+02	+3.314958e+00	+2.488470e-02	-2.762516e-01	+2.275990e-01	+5.828330e+00	
+2.752872e+00	+3.190384e+02	+3.356215e+00	+2.546697e-02	-2.758958e-01	+2.302807e-01	+5.835587e+00	
+2.754192e+00	+3.192776e+02	+3.397535e+00	+2.605584e-02	-2.755334e-01	+2.329632e-01	+5.842848e+00	
+2.755513e+00	+3.195168e+02	+3.438918e+00	+2.665130e-02	-2.751643e-01	+2.356464e-01	+5.850114e+00	
+2.756833e+00	+3.197560e+02	+3.480364e+00	+2.725335e-02	-2.747886e-01	+2.383303e-01	+5.857386e+00	
+2.758153e+00	+3.199952e+02	+3.521874e+00	+2.786198e-02	-2.744064e-01	+2.410151e-01	+5.864662e+00	
+2.759473e+00	+3.202344e+02	+3.563447e+00	+2.847717e-02	-2.740175e-01	+2.437005e-01	+5.871942e+00	
+2.760794e+00	+3.204735e+02	+3.605083e+00	+2.909893e-02	-2.736220e-01	+2.463868e-01	+5.879228e+00	
+2.762114e+00	+3.207126e+02	+3.646783e+00	+2.972725e-02	-2.732199e-01	+2.490738e-01	+5.886519e+00	
+2.763434e+00	+3.209517e+02	+3.688546e+00	+3.036211e-02	-2.728113e-01	+2.517616e-01	+5.893815e+00	
+2.764755e+00	+3.211908e+02	+3.730373e+00	+3.100351e-02	-2.723960e-01	+2.544501e-01	+5.901115e+00	
+2.766075e+00	+3.214298e+02	+3.772264e+00	+3.165145e-02	-2.719742e-01	+2.571394e-01	+5.908421e+00	
+2.767395e+00	+3.216689e+02	+3.814218e+00	+3.230591e-02	-2.715458e-01	+2.598294e-01	+5.915731e+00	
+2.768716e+00	+3.219079e+02	+3.856236e+00	+3.296689e-02	-2.711108e-01	+2.625202e-01	+5.923046e+00	
+2.770036e+00	+3.221469e+02	+3.898317e+00	+3.363439e-02	-2.706693e-01	+2.652118e-01	+5.930364e+00	
+2.771356e+00	+3.223858e+02	+3.940462e+00	+3.430854e-02	-2.702211e-01	+2.679041e-01	+5.937573e+00	
+2.772677e+00	+3.226248e+02	+3.982669e+00	+3.498938e-02	-2.697662e-01	+2.705971e-01	+5.944787e+00	
+2.773997e+00	+3.228637e+02	+4.024939e+00	+3.567691e-02	-2.693047e-01	+2.732908e-01	+5.952005e+00	
+2.775317e+00	+3.231026e+02	+4.067270e+00	+3.637111e-02	-2.688364e-01	+2.759852e-01	+5.959228e+00	
+2.776638e+00	+3.233415e+02	+4.109664e+00	+3.707199e-02	-2.683615e-01	+2.786803e-01	+5.966455e+00	
+2.777958e+00	+3.235804e+02	+4.152121e+00	+3.777953e-02	-2.678799e-01	+2.813761e-01	+5.973686e+00	
+2.779278e+00	+3.238192e+02	+4.194640e+00	+3.849373e-02	-2.673917e-01	+2.840727e-01	+5.980922e+00	
+2.780599e+00	+3.240580e+02	+4.237222e+00	+3.921458e-02	-2.668968e-01	+2.867699e-01	+5.988161e+00	
+2.781919e+00	+3.242968e+02	+4.279866e+00	+3.994208e-02	-2.663952e-01	+2.894678e-01	+5.995406e+00	
+2.783239e+00	+3.245356e+02	+4.322573e+00	+4.067621e-02	-2.658870e-01	+2.921664e-01	+6.002654e+00	
+2.784560e+00	+3.247744e+02	+4.365342e+00	+4.141698e-02	-2.653721e-01	+2.948657e-01	+6.009907e+00	
+2.785880e+00	+3.250131e+02	+4.408174e+00	+4.216437e-02	-2.648506e-01	+2.975657e-01	+6.017164e+00	
+2.787200e+00	+3.252518e+02	+4.451070e+00	+4.291837e-02	-2.643224e-01	+3.002665e-01	+6.024426e+00	
+2.788521e+00	+3.254905e+02	+4.494028e+00	+4.367899e-02	-2.637876e-01	+3.029679e-01	+6.031691e+00	
+2.789841e+00	+3.257292e+02	+4.537048e+00	+4.444621e-02	-2.632462e-01	+3.056700e-01	+6.038962e+00	
+2.791161e+00	+3.259679e+02	+4.580132e+00	+4.522003e-02	-2.626982e-01	+3.083728e-01	+6.046236e+00	
+2.792482e+00	+3.262065e+02	+4.623279e+00	+4.600044e-02	-2.621435e-01	+3.110763e-01	+6.053515e+00	
+2.793802e+00	+3.264451e+02	+4.666489e+00	+4.678744e-02	-2.615822e-01	+3.137805e-01	+6.060799e+00	
+2.795122e+00	+3.266837e+02	+4.709762e+00	+4.758101e-02	-2.610144e-01	+3.164854e-01	+6.068086e+00	
+2.796442e+00	+3.269223e+02	+4.753098e+00	+4.838116e-02	-2.604399e-01	+3.191909e-01	+6.075379e+00	
+2.797763e+00	+3.271608e+02	+4.796497e+00	+4.918787e-02	-2.598588e-01	+3.218972e-01	+6.082675e+00	
+2.799083e+00	+3.273994e+02	+4.839959e+00	+5.000114e-02	-2.592711e-01	+3.246042e-01	+6.089976e+00	
+2.800403e+00	+3.276379e+02	+4.883485e+00	+5.082096e-02	-2.586768e-01	+3.273119e-01	+6.097281e+00	
+2.801724e+00	+3.278764e+02	+4.927074e+00	+5.164733e-02	-2.580760e-01	+3.300202e-01	+6.104591e+00	
+2.803044e+00	+3.281148e+02	+4.970727e+00	+5.248023e-02	-2.574685e-01	+3.327293e-01	+6.111905e+00	
+2.804364e+00	+3.283533e+02	+5.014443e+00	+5.331967e-02	-2.568545e-01	+3.354390e-01	+6.119224e+00	
+2.805685e+00	+3.285917e+02	+5.058222e+00	+5.416564e-02	-2.562339e-01	+3.381494e-01	+6.126547e+00	
+2.807005e+00	+3.288301e+02	+5.102065e+00	+5.501812e-02	-2.556067e-01	+3.408606e-01	+6.133875e+00	
+2.808325e+00	+3.290685e+02	+5.145971e+00	+5.587712e-02	-2.549730e-01	+3.435724e-01	+6.141206e+00	
+2.809646e+00	+3.293068e+02	+5.189942e+00	+5.674262e-02	-2.543327e-01	+3.462849e-01	+6.148543e+00	
+2.810966e+00	+3.295452e+02	+5.233975e+00	+5.761463e-02	-2.536859e-01	+3.489980e-01	+6.155884e+00	
+2.812286e+00	+3.297835e+02	+5.278073e+00	+5.849312e-02	-2.530325e-01	+3.517119e-01	+6.163229e+00	
+2.813607e+00	+3.300218e+02	+5.322234e+00	+5.937811e-02	-2.523726e-01	+3.544265e-01	+6.170579e+00	
+2.814927e+00	+3.302601e+02	+5.366459e+00	+6.026958e-02	-2.517061e-01	+3.571417e-01	+6.177933e+00	
+2.816247e+00	+3.304983e+02	+5.410748e+00	+6.116752e-02	-2.510331e-01	+3.598577e-01	+6.185291e+00	
+2.817568e+00	+3.307366e+02	+5.455101e+00	+6.207193e-02	-2.503536e-01	+3.625743e-01	+6.192655e+00	
+2.818888e+00	+3.309748e+02	+5.499518e+00	+6.298280e-02	-2.496675e-01	+3.652916e-01	+6.200022e+00	
+2.820208e+00	+3.312130e+02	+5.543999e+00	+6.390013e-02	-2.489750e-01	+3.680096e-01	+6.207394e+00	
